Company_ID,Quarter,Revenue,Net_Profit,Debt_to_Equity,Current_Ratio,EPS,Stock_Volatility,Market_Cap,Credit_Score,Credit_Risk_Score,Stock_Trend
C103,Q2,3497.33,-144.77,0.75,1.17,16.58,39.61,369.33,818,Low,Up
C436,Q2,3525.62,811.97,1.94,2.52,4.0,59.71,452.12,488,High,Down
C349,Q2,899.88,716.63,3.39,1.75,10.98,59.78,118.04,650,Medium,Up
C271,Q4,2525.56,1446.98,3.93,4.74,18.05,52.17,88.11,582,Medium,Up
C107,Q3,2089.19,623.16,2.7,4.48,-1.21,8.51,348.26,456,High,Stable
C072,Q4,4359.11,-91.88,2.99,0.88,9.17,57.43,488.5,447,High,Down
C189,Q1,3175.52,737.87,1.08,2.82,14.11,38.7,375.1,369,High,Down
C021,Q1,2685.9,1229.86,1.51,1.51,13.94,49.05,142.65,669,Medium,Stable
C103,Q4,621.2,1494.64,0.89,2.35,8.14,27.4,210.27,814,Low,Stable
C122,Q4,3047.91,531.58,1.32,4.45,10.62,22.58,192.47,533,High,Up
C467,Q2,630.16,344.51,1.2,2.87,13.94,30.48,426.12,766,Low,Stable
C215,Q4,1719.17,1341.31,2.65,2.0,16.03,13.08,385.8,586,Medium,Stable
C331,Q2,757.07,125.11,2.86,1.44,14.05,24.64,294.69,593,Medium,Up
C459,Q1,3475.76,846.23,4.73,4.1,3.85,52.17,137.84,780,Low,Stable
C088,Q2,1070.95,489.71,1.06,3.31,19.92,7.09,469.03,433,High,Up
C373,Q4,1989.7,-130.16,3.24,2.61,5.86,13.3,326.83,307,High,Down
C100,Q1,4483.59,390.39,4.1,1.48,-4.39,11.88,485.25,327,High,Down
C360,Q3,1061.37,250.89,2.85,2.0,4.07,27.17,290.27,819,Low,Up
C152,Q2,2563.64,966.35,1.35,4.82,-1.81,59.83,410.69,609,Medium,Stable
C131,Q1,2125.39,1412.94,1.39,2.84,-1.96,14.53,406.65,840,Low,Stable
C150,Q2,139.71,255.68,0.29,2.3,2.04,13.0,169.0,793,Low,Stable
C309,Q1,3974.15,1179.49,1.6,2.85,-3.67,55.33,482.03,333,High,Up
C258,Q1,391.78,-105.89,3.75,4.01,12.21,53.51,11.46,306,High,Up
C344,Q2,2397.56,714.81,0.33,2.03,-3.15,6.77,384.47,339,High,Stable
C492,Q3,2825.36,-80.06,1.17,1.3,0.08,46.34,482.8,629,Medium,Up
C414,Q1,3160.71,1387.86,3.56,3.13,-2.68,41.05,169.78,361,High,Down
C294,Q1,3458.73,1102.8,3.93,3.49,-3.42,47.23,324.23,385,High,Stable
C386,Q1,1303.7,918.51,2.33,3.71,1.69,32.2,281.33,415,High,Up
C192,Q3,99.39,1200.62,3.52,4.47,9.3,59.53,380.87,596,Medium,Up
C444,Q3,3631.05,900.78,2.0,2.17,19.12,7.41,433.16,678,Low,Down
C277,Q4,2701.5,1447.21,0.88,0.84,16.89,17.89,301.72,621,Medium,Up
C161,Q2,4188.78,1013.73,2.05,4.81,16.9,26.81,408.04,694,Low,Down
C460,Q3,4115.87,1371.92,2.94,2.46,-0.6,29.74,156.49,656,Medium,Up
C314,Q2,4224.46,679.12,4.75,3.3,1.62,55.68,114.68,718,Low,Up
C022,Q4,2451.22,-0.99,0.44,3.5,-3.09,35.8,215.62,777,Low,Stable
C253,Q2,1701.46,697.9,2.59,2.96,14.46,7.48,339.03,635,Medium,Down
C236,Q3,3968.21,15.68,1.71,1.42,-3.25,27.43,94.03,319,High,Down
C345,Q2,2283.91,807.24,2.59,3.9,8.92,27.91,340.34,711,Low,Up
C049,Q3,958.04,620.24,0.22,4.12,1.2,58.1,197.35,848,Low,Down
C475,Q2,4282.12,858.38,1.63,2.99,1.09,37.96,397.89,558,High,Stable
C059,Q3,4418.67,-182.92,4.12,2.7,19.77,39.96,18.9,656,Medium,Down
C170,Q3,2358.23,131.23,2.81,1.01,13.92,44.23,334.16,500,High,Down
C476,Q2,424.71,635.26,2.31,0.88,15.92,47.35,325.09,710,Low,Up
C188,Q4,1969.74,1415.86,1.5,2.03,9.3,39.93,470.5,587,Medium,Down
C464,Q1,4027.51,452.14,1.56,1.9,16.78,18.05,356.83,347,High,Stable
C271,Q4,4513.78,521.43,1.98,4.79,11.14,53.07,398.25,669,Medium,Stable
C190,Q2,1057.19,1014.98,4.19,4.03,18.65,45.27,452.34,530,High,Down
C446,Q4,381.52,826.45,4.84,3.47,2.03,45.8,337.69,394,High,Stable
C175,Q3,4392.88,308.17,2.25,2.83,9.88,59.81,145.43,602,Medium,Up
C446,Q1,1977.55,498.39,2.03,1.25,12.25,49.14,434.95,517,High,Down
C051,Q2,2731.72,170.09,4.25,4.9,4.82,50.6,373.92,686,Low,Up
C364,Q2,4841.93,1442.24,2.19,2.19,16.99,57.33,212.51,390,High,Down
C055,Q2,379.5,22.08,2.8,0.98,19.5,13.31,355.41,357,High,Up
C244,Q1,3259.17,432.12,1.23,2.72,7.34,32.38,433.91,733,Low,Stable
